INSTRUCTOR,COURSE,TERM,"ENROLLED/
RESP RATE",AVG GRADE RECEIVED,AVG HOURS WORKED,STUDENT LEARNING,COURSE STRUCTURE,CLASS ENVIRONMENT
"Dhir, Simrita",WCWP 10A - The Writing Course A (001),WI24,"20
(70.00%)",3.76 (A-),5.00,4.70,4.80,4.82
"Gagnon, Jeffrey C",WCWP 10A - The Writing Course A (002),WI24,"19
(94.74%)",3.73 (A-),5.39,4.56,4.49,4.53
"Dhir, Simrita",WCWP 10A - The Writing Course A (003),WI24,"20
(80.00%)",3.90 (A-),4.75,4.16,4.47,4.67
"Dhir, Simrita",WCWP 10A - The Writing Course A (004),WI24,"20
(95.00%)",3.72 (A-),4.26,4.67,4.80,4.91
"Merryman, Walter Emerson",WCWP 10A - The Writing Course A (007),WI24,"20
(25.00%)",3.80 (A-),3.80,4.05,4.37,4.60
"Merryman, Walter Emerson",WCWP 10A - The Writing Course A (008),WI24,"20
(70.00%)",3.95 (A-),4.29,4.38,4.63,4.66
"Uriarte, Emma",WCWP 10A - The Writing Course A (009),WI24,"20
(60.00%)",3.92 (A-),4.50,4.27,4.65,4.74
"Merryman, Walter Emerson",WCWP 10A - The Writing Course A (010),WI24,"20
(40.00%)",3.99 (A-),4.00,4.56,4.75,4.88
"Uriarte, Emma",WCWP 10A - The Writing Course A (011),WI24,"20
(45.00%)",3.99 (A-),4.11,4.61,4.78,4.89
"Uriarte, Emma",WCWP 10A - The Writing Course A (012),WI24,"20
(25.00%)",3.90 (A-),3.80,4.75,4.84,4.80
"Susi, Natalie",WCWP 10A - The Writing Course A (013),WI24,"20
(25.00%)",3.56 (B+),4.20,4.60,4.60,4.65
"Dhir, Simrita",WCWP 10A - The Writing Course A (001),FA23,"20
(85.00%)",3.76 (A-),6.25,4.49,4.60,4.81
"Savage, Sarah S",WCWP 10A - The Writing Course A (002),FA23,"20
(50.00%)",3.75 (A-),6.00,4.75,4.75,4.88
"Dhir, Simrita",WCWP 10A - The Writing Course A (003),FA23,"20
(100.00%)",3.90 (A-),6.00,4.23,4.35,4.73
"Savage, Sarah S",WCWP 10A - The Writing Course A (004),FA23,"20
(50.00%)",3.97 (A-),6.00,4.60,4.70,4.85
"Lince, Anthony",WCWP 10A - The Writing Course A (007),FA23,"20
(85.00%)",3.59 (B+),6.18,4.45,4.69,4.88
"Gagnon, Jeffrey C",WCWP 10A - The Writing Course A (008),FA23,"20
(95.00%)",3.84 (A-),6.05,4.88,4.88,4.80
"Lince, Anthony",WCWP 10A - The Writing Course A (009),FA23,"20
(95.00%)",3.90 (A-),6.05,4.45,4.59,4.68
"Lince, Anthony",WCWP 10A - The Writing Course A (010),FA23,"20
(100.00%)",3.95 (A-),5.75,4.76,4.85,4.89
"Merryman, Walter Emerson",WCWP 10A - The Writing Course A (014),FA23,"20
(55.00%)",3.94 (A-),6.36,4.75,4.74,4.66
"Moon, He Jin",WCWP 10A - The Writing Course A (015),FA23,"20
(25.00%)",3.53 (B+),8.00,3.25,3.33,4.35
"Merryman, Walter Emerson",WCWP 10A - The Writing Course A (016),FA23,"20
(75.00%)",3.65 (B+),7.33,4.23,4.45,4.65
"Moon, He Jin",WCWP 10A - The Writing Course A (017),FA23,"20
(30.00%)",3.52 (B+),7.50,3.50,3.58,4.29
"Moon, He Jin",WCWP 10A - The Writing Course A (018),FA23,"20
(50.00%)",3.35 (B+),9.50,4.18,4.26,4.37
"Ornelas, Tricia",WCWP 10A - The Writing Course A (022),FA23,"20
(60.00%)",3.55 (B+),6.25,4.56,4.67,4.79
"Ornelas, Tricia",WCWP 10A - The Writing Course A (024),FA23,"20
(65.00%)",3.77 (A-),5.77,4.81,4.81,4.75
"Susi, Natalie",WCWP 10A - The Writing Course A (025),FA23,"20
(100.00%)",3.80 (A-),5.25,4.68,4.73,4.71
"Susi, Natalie",WCWP 10A - The Writing Course A (026),FA23,"20
(90.00%)",3.82 (A-),6.11,4.43,4.61,4.61
"Uriarte, Emma",WCWP 10A - The Writing Course A (028),FA23,"19
(89.47%)",3.84 (A-),5.00,4.40,4.56,4.72
"Uriarte, Emma",WCWP 10A - The Writing Course A (029),FA23,"20
(80.00%)",3.69 (B+),5.94,4.25,4.49,4.83
"Savage, Sarah S",WCWP 10A - The Writing Course A (035),FA23,"20
(40.00%)",3.95 (A-),5.00,4.63,4.78,4.97
"Gagnon, Jeffrey C",WCWP 10A - The Writing Course A (002),SP23,"15
(33.33%)",3.73 (A-),8.00,4.45,4.55,4.79
"Gagnon, Jeffrey C",WCWP 10A - The Writing Course A (003),SP23,"15
(26.67%)",3.33 (B+),7.50,5.00,4.69,5.00
"Gagnon, Jeffrey C",WCWP 10A - The Writing Course A (004),SP23,"15
(26.67%)",3.73 (A-),5.00,4.25,4.33,4.62
"Gagnon, Jeffrey C",WCWP 10A - The Writing Course A (006),SP23,"20
(15.00%)",3.54 (B+),5.00,5.00,5.00,4.83
