INSTRUCTOR,COURSE,TERM,"ENROLLED/
RESP RATE",AVG GRADE RECEIVED,AVG HOURS WORKED,STUDENT LEARNING,COURSE STRUCTURE,CLASS ENVIRONMENT
"Delaville, Romain",CAT 125 - Public Rhetoric & Prac Comm (001),WI24,"20
(35.00%)",3.33 (B+),2.71,4.50,4.64,4.89
"Bigham, David Joseph",CAT 125 - Public Rhetoric & Prac Comm (002),WI24,"19
(21.05%)",3.73 (A-),6.50,4.44,4.60,4.75
"Bigham, David Joseph",CAT 125 - Public Rhetoric & Prac Comm (003),WI24,"20
(30.00%)",3.57 (B+),2.67,4.58,4.46,4.67
"Bigham, David Joseph",CAT 125 - Public Rhetoric & Prac Comm (004),WI24,"20
(35.00%)",3.71 (A-),3.00,4.78,4.85,4.79
"Marchisotto, Jennifer Anne",CAT 125 - Public Rhetoric & Prac Comm (005),WI24,"20
(80.00%)",3.93 (A-),3.38,4.36,4.62,4.61
"Marchisotto, Jennifer Anne",CAT 125 - Public Rhetoric & Prac Comm (006),WI24,"17
(82.35%)",3.88 (A-),3.71,4.36,4.57,4.73
"Vanderschuit, Maya Alysia",CAT 125 - Public Rhetoric & Prac Comm (007),WI24,"16
(62.50%)",2.76 (B-),3.80,4.05,4.24,4.68
"Vanderschuit, Maya Alysia",CAT 125 - Public Rhetoric & Prac Comm (008),WI24,"19
(78.95%)",3.65 (B+),4.60,3.85,4.00,4.37
"Vanderschuit, Maya Alysia",CAT 125 - Public Rhetoric & Prac Comm (009),WI24,"20
(80.00%)",3.65 (B+),4.25,4.37,4.36,4.51
"Morales, Celeste Georgianna",CAT 125 - Public Rhetoric & Prac Comm (010),WI24,"14
(21.43%)",3.57 (B+),3.00,4.17,4.25,4.58
"Morales, Celeste Georgianna",CAT 125 - Public Rhetoric & Prac Comm (011),WI24,"16
(31.25%)",3.62 (B+),3.80,4.10,4.25,4.50
"Morales, Celeste Georgianna",CAT 125 - Public Rhetoric & Prac Comm (012),WI24,"18
(27.78%)",3.61 (B+),3.00,4.50,4.55,4.75
"Rose, Becca Rae",CAT 125 - Public Rhetoric & Prac Comm (013),WI24,"17
(17.65%)",3.23 (B),3.67,3.67,4.00,4.42
"Rose, Becca Rae",CAT 125 - Public Rhetoric & Prac Comm (014),WI24,"5
(100.00%)",3.48 (B+),4.20,4.30,4.40,4.65
"Rose, Becca Rae",CAT 125 - Public Rhetoric & Prac Comm (015),WI24,"4
(75.00%)",3.43 (B+),5.00,4.83,4.83,4.92
